"NameString","Integer column","Date without time","Date and time","Time only","Float column"
"This is the name number 9",96,2006-02-02,2002-04-24 07:01:33,03:43:31, 11.374
"This is the name number 64",20,2009-12-03,2005-09-23 02:23:01,14:11:11, 11.443
"This is the name number 97",85,2009-12-15,2006-07-08 02:26:01,06:43:35, 6.993
"This is the name number 53",46,2010-08-24,2005-09-29 05:20:27,03:47:46, 1.630
"This is the name number 36",18,2010-04-23,2009-09-21 20:44:41,13:51:52, 18.552
"This is the name number 17",10,2008-08-12,2001-01-28 10:44:13,07:43:18, 16.821
"This is the name number 54",91,2004-03-22,2004-01-21 16:04:46,17:16:21, 15.465
"This is the name number 23",68,2006-01-04,2002-12-19 12:09:31,08:56:15, 13.258
"This is the name number 72",40,2002-10-12,2007-03-25 10:35:57,09:14:15, 10.506
"This is the name number 37",99,2009-09-02,2003-02-09 17:59:27,18:02:53, 17.963
"This is the name number 77",73,2008-08-07,2009-09-09 03:22:53,07:26:51, 18.481
"This is the name number 6",83,2002-08-05,2008-11-20 03:36:56,09:33:58, 18.280
"This is the name number 23",40,2007-05-24,2007-07-11 06:22:23,16:02:07, 15.410
"This is the name number 29",60,2003-11-24,2007-09-20 13:29:49,15:59:59, 14.947
"This is the name number 29",42,2010-03-30,2004-07-13 11:03:02,11:09:52, 16.414
"This is the name number 16",28,2010-06-19,2002-04-23 06:37:25,04:20:10, 19.904
"This is the name number 69",26,2001-04-30,2007-02-15 15:03:12,04:23:03, 7.319
"This is the name number 35",59,2001-07-30,2009-12-05 19:37:15,11:22:28, 18.303
"This is the name number 74",3,2002-08-26,2009-03-30 20:02:09,14:48:26, 7.538
"This is the name number 59",60,2002-08-31,2008-12-12 22:28:13,12:37:14, 10.711
"This is the name number 3",85,2001-12-23,2008-05-07 12:28:17,16:26:54, 16.807
"This is the name number 43",44,2003-09-19,2006-03-06 17:33:31,15:28:31, 2.157
"This is the name number 65",43,2007-11-05,2002-07-06 03:23:40,05:28:26, 2.534
"This is the name number 25",72,2009-09-22,2007-01-22 06:49:24,01:37:06, 11.883
"This is the name number 73",48,2002-12-25,2009-09-10 13:31:23,18:05:48, 18.569
"This is the name number 39",75,2004-04-25,2009-06-09 10:18:34,12:30:15, 3.509
"This is the name number 12",60,2003-12-01,2008-10-10 20:00:55,02:37:41, 2.947
"This is the name number 5",83,2002-12-21,2003-11-08 17:25:51,18:17:09, 13.763
"This is the name number 95",86,2010-01-13,2008-11-04 17:46:47,15:08:24, 16.460
"This is the name number 73",15,2001-02-19,2006-07-03 20:26:24,11:43:18, 14.309
"This is the name number 57",82,2009-06-28,2010-06-03 03:33:23,07:17:15, 8.866
"This is the name number 75",67,2000-02-22,2010-08-22 21:25:23,17:43:45, 20.173
"This is the name number 4",85,2006-11-11,2000-03-20 22:00:54,03:19:53, 14.625
"This is the name number 9",53,2008-07-19,2000-07-27 22:48:54,10:42:59, 15.758
"This is the name number 18",16,2000-04-26,2002-01-14 06:10:01,01:02:22, 8.479
"This is the name number 63",49,2006-12-10,2007-10-03 19:12:39,03:49:12, 4.016
"This is the name number 33",57,2000-06-15,2007-07-27 03:47:58,16:16:15, 9.589
"This is the name number 27",81,2010-02-23,2002-05-12 15:32:46,09:37:33, 16.774
"This is the name number 97",19,2001-09-02,2007-10-31 08:14:06,16:06:51, 3.886
